rock_id,label,density,eigenvalue_ratio,normal_consistency,ground_contact_ratio,volume,height_width_ratio,cluster_count
rock_3215,positive,20.45303867403315,0.20368175232028485,0.6041222737678349,0.19337016574585636,0.5885000000000085,0.45454545454544515,1
rock_3214,positive,20.344957587181902,0.1762977448086893,0.6149248122549992,0.04995287464655985,1.655919000000019,0.5163398692810683,3
rock_3216,positive,20.455481410867492,0.39957912557833747,0.5300882254422794,0.0034318398474737846,6.35712000000014,0.8186046511627951,9
rock_2322,positive,22.264643613267467,0.09029722060753828,0.6490671190488335,0.035285815102328866,0.7376180000001052,0.3533834586466262,1
rock_2323,positive,20.834691501746217,0.09141334684064244,0.699795865517397,0.04307334109429569,0.4609439999998902,0.40740740740735865,1
rock_3217,positive,20.343199436222694,0.3693802709260999,0.5643038379576828,0.03875968992248062,1.1700510000001076,0.6535433070866266,1
rock_123,negative,18.03969754253308,0.0614722640893015,0.5386943271543704,0.00045368620037807185,191.77235999999743,1.800955414012738,104
rock_2092,positive,22.3896448135713,0.45527631550422953,0.5210512234466921,0.0026506449902809685,6.1675300000000535,0.7488151658767649,3
rock_3213,positive,21.8331569664903,0.2225272499531207,0.5548614951179405,0.037742504409171075,2.561382000000072,0.5950920245398957,1
rock_656,negative,19.794302626711062,0.010483669547630628,0.8475315477004101,0.005549389567147614,9.419423999999994,0.40809968847352357,1
rock_326,positive,20.026779882429786,0.2563153814486493,0.5536355027767865,0.005878510777269758,1.0892800000000655,0.5781249999999681,2
rock_2330,positive,22.243272335844996,0.1774990929595428,0.5688050455508421,0.05758880516684607,1.3433419999998888,0.5384615384615445,1
rock_911,negative,17.221592148309707,0.0035218465964783675,0.7947133437868084,0.0017448200654307524,19.03396000000031,0.4113636363636284,3
rock_535,positive,19.454370179948587,0.2913470267506738,0.5228396344224785,0.014460154241645245,2.674380000000247,0.6091954022988814,2
rock_327,positive,19.243478260869566,0.19049687326822295,0.5945911002557889,0.008184143222506393,1.743455999999983,0.564102564102581,2
rock_195,negative,10.011764705882353,0.0048516273518049964,0.948333238137643,0.07058823529411765,6.765330000000363,0.9330143540669932,4
rock_2785,positive,19.142110762800417,0.21928479683593402,0.542098034449943,0.040229885057471264,1.7387280000000176,0.9193548387096597,2
